$$Component_Title,$$Component_Description,$$Component_Type,$$Rule_Id,$$Rule_Description,$Parameter_Id,$Parameter_Description,$Parameter_Value_Alternatives,$Parameter_Value_Default,$$Profile_Source,$$Profile_Description,$$Control_Id_List,Check_Id,Check_Description,$$Namespace
Kubernetes,Kubernetes,software,block-large-images,Pods which run containers of very large image size take longer to pull and require more space to store. A user may either inadvertently or purposefully name an image which is unusually large to disrupt operations. This policy checks the size of every container image and blocks if it is over 2 Gibibytes.,,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,NIST r5,sc-5,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kubernetes
Kubernetes,Kubernetes,software,deny-exec-by-namespace-label,"The `exec` command may be used to gain shell access, or run other commands, in a Pod's container. While this can be useful for troubleshooting purposes, it could represent an attack vector and is discouraged. This policy blocks Pod exec commands based upon a Namespace label `exec=false`.",,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,NIST r5,ac-3 ac-4 ac-6,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kubernetes
Kubernetes,Kubernetes,software,deny-exec-by-namespace-name,"The `exec` command may be used to gain shell access, or run other commands, in a Pod's container. While this can be useful for troubleshooting purposes, it could represent an attack vector and is discouraged. This policy blocks Pod exec commands to Pods in a Namespace called `pci`.",,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,NIST r5,ac-3 ac-4 ac-6,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kubernetes
Kubernetes,Kubernetes,software,deny-exec-by-pod-and-container,"The `exec` command may be used to gain shell access, or run other commands, in a Pod's container. While this can be useful for troubleshooting purposes, it could represent an attack vector and is discouraged. This policy blocks Pod exec commands to containers named `nginx` in Pods starting with name `myapp-maintenance`.",,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,NIST r5,ac-3 ac-4 ac-6,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kubernetes
Kubernetes,Kubernetes,software,deny-exec-by-pod-label,"The `exec` command may be used to gain shell access, or run other commands, in a Pod's container. While this can be useful for troubleshooting purposes, it could represent an attack vector and is discouraged. This policy blocks Pod exec commands to Pods having the label `exec=false`.",,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,NIST r5,ac-3 ac-4 ac-6,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kubernetes
Kubernetes,Kubernetes,software,deny-exec-by-pod-name,"The `exec` command may be used to gain shell access, or run other commands, in a Pod's container. While this can be useful for troubleshooting purposes, it could represent an attack vector and is discouraged. This policy blocks Pod exec commands to Pods beginning with the name `myapp-maintenance-`.",,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,NIST r5,ac-3 ac-4 ac-6,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kubernetes
Kubernetes,Kubernetes,software,block-stale-images,Images that are old usually have some open security vulnerabilities which are not patched. This policy checks the contents of every container image and inspects them for the create time. If it finds any image which was built more than 6 months ago this policy blocks the deployment.,,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,NIST r5,cm-8.3_smt.a si-2.2,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kubernetes
Kubernetes,Kubernetes,software,block-updates-deletes,Kubernetes RBAC allows for controls on kinds of resources or those with specific names. But it does not have the type of granularity often required in more complex environments. This policy restricts updates and deletes to any Service resource that contains the label `protected=true` unless by a cluster-admin.,,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,NIST r5,ac-4 ac-6,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kubernetes
Kubernetes,Kubernetes,software,block-velero-restore,"Velero allows on backup and restore operations and is designed to be run with full cluster admin permissions. It allows on cross namespace restore operations, which means you can restore backup of namespace A to namespace B. This policy protect restore operation into system or any protected namespaces, listed in deny condition section. It checks the Restore CRD object and its namespaceMapping field. If destination match protected namespace then operation fails and warning message is throw.",,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,NIST r5,ac-4 ac-6,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kubernetes
Kubernetes,Kubernetes,software,cert-manager-limit-duration,Kubernetes managed non-letsencrypt certificates have to be renewed in every 100 days.,,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,NIST r5,ia-5_smt.g,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kubernetes
Kubernetes,Kubernetes,software,k10-3-2-1-backup-policy,"The rule of 3-2-1 recommends that you have at least 3 copies of data, on 2 different storage targets, and 1 being offsite. 3-2-1 ensures a health mix of redundancy options for data recovery of the application for localized & multi-region cloud failures or compromise. In K8s/K10, this translates to the original StatefulSet (the original PersistentVolumeClaim), a backup (a snapshot of the PVC on prod storage), and an export to cloud object storage (a secondary cloud copy of the PVC snapshot).",,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,NIST r5,cp-2 cp-9,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kubernetes
Kubernetes,Kubernetes,software,check-deprecated-apis,"Kubernetes APIs are sometimes deprecated and removed after a few releases. As a best practice, older API versions should be replaced with newer versions. This policy validates for APIs that are deprecated or scheduled for removal. ",,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,NIST r5,cm-8.3_smt.a si-2.2,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kubernetes
Kubernetes,Kubernetes,software,k10-policy-hourly-rpo,K10 Policy resources can be educated to adhere to common Recovery Point Objective (RPO) best practices. This policy is advising to use an RPO frequency that with hourly granularity if it has the appPriority: Mission Critical,,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,NIST r5,cp-10,,,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kubernetes
Kyverno,Kyverno,validation,advanced-restrict-image-registries,,,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,,,advanced-restrict-image-registries,advanced-restrict-image-registries,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kyverno
Kyverno,Kyverno,validation,allowed-base-images,,,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,,,allowed-base-images,allowed-base-images,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kyverno
Kyverno,Kyverno,validation,allowed-image-repos,,,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,,,allowed-image-repos,allowed-image-repos,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kyverno
Kyverno,Kyverno,validation,allowed-label-changes,,,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,,,allowed-label-changes,allowed-label-changes,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kyverno
Kyverno,Kyverno,validation,allowed-podpriorities,,,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,,,allowed-podpriorities,allowed-podpriorities,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kyverno
Kyverno,Kyverno,validation,podsecurity-subrule-baseline,,,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,,,podsecurity-subrule-baseline,podsecurity-subrule-baseline,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kyverno
Kyverno,Kyverno,validation,block-cluster-admin-from-ns,,,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,,,block-cluster-admin-from-ns,block-cluster-admin-from-ns,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kyverno
Kyverno,Kyverno,validation,block-ephemeral-containers,,,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,,,block-ephemeral-containers,block-ephemeral-containers,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kyverno
Kyverno,Kyverno,validation,block-images-with-volumes,,,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,,,block-images-with-volumes,block-images-with-volumes,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kyverno
Kyverno,Kyverno,validation,block-large-images,,,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,,,block-large-images,block-large-images,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kyverno
Kyverno,Kyverno,validation,deny-exec-by-namespace-label,,,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,,,deny-exec-by-namespace-label,deny-exec-by-namespace-label,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kyverno
Kyverno,Kyverno,validation,deny-exec-by-namespace-name,,,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,,,deny-exec-by-namespace-name,deny-exec-by-namespace-name,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kyverno
Kyverno,Kyverno,validation,deny-exec-by-pod-and-container,,,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,,,deny-exec-by-pod-and-container,deny-exec-by-pod-and-container,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kyverno
Kyverno,Kyverno,validation,deny-exec-by-pod-label,,,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,,,deny-exec-by-pod-label,deny-exec-by-pod-label,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kyverno
Kyverno,Kyverno,validation,deny-exec-by-pod-name,,,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,,,deny-exec-by-pod-name,deny-exec-by-pod-name,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kyverno
Kyverno,Kyverno,validation,block-stale-images,,,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,,,block-stale-images,block-stale-images,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kyverno
Kyverno,Kyverno,validation,block-updates-deletes,,,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,,,block-updates-deletes,block-updates-deletes,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kyverno
Kyverno,Kyverno,validation,block-velero-restore,,,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,,,block-velero-restore,block-velero-restore,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kyverno
Kyverno,Kyverno,validation,cert-manager-limit-duration,,,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,,,cert-manager-limit-duration,cert-manager-limit-duration,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kyverno
Kyverno,Kyverno,validation,k10-3-2-1-backup-policy,,,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,,,k10-3-2-1-backup-policy,k10-3-2-1-backup-policy,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kyverno
Kyverno,Kyverno,validation,check-deprecated-apis,,,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,,,check-deprecated-apis,check-deprecated-apis,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kyverno
Kyverno,Kyverno,validation,k10-policy-hourly-rpo,,,,,,catalogs/NIST_SP-800-53_rev5_HIGH/NIST_SP-800-53_rev5_HIGH-baseline-resolved-profile_catalog.json,,,k10-policy-hourly-rpo,k10-policy-hourly-rpo,http://ibm.github.io/compliance-trestle/schemas/oscal/cd/kyverno
